id;ref_emi;amount;code_contribuable;status;id_organisation;id_type_emis_id
1;Intranet Checking Account;66249;non-volatile;DRAFT;35344;29627
2;open-source;18427;Licensed capacity Awesome Steel Computer;RECONCILED;5821;33908
3;transmitting Research Designer;25851;Soft port;CANCEL;6795;6222
4;convergence Dale;50294;Argentine Peso Integration;PENDING;35325;45385
5;Colorado Land;53764;full-range;DRAFT;19937;18994
6;generate Personal Loan Account Tasty Soft Salad;93135;California;PENDING;11251;16032
7;encryption;89372;synthesizing;VALIDATED;90487;29711
8;real-time Avon FTP;90218;parse Wisconsin;VALIDATED;4524;21914
9;moratorium;53713;Function-based integrate Wisconsin;RECONCILED;40263;26658
10;function Unions;18279;Nebraska;VALIDATED;89921;62535
