id;code;means_of_payment;statut;amount;id_emission;id_recette;id_organisation
1;code_1;ORANGE_MONEY;DRAFT;1714;13119;10361;44370
2;code_2;YUP;CANCEL;56143;606;95448;88589
3;code_3;MOBILE_MONEY;DRAFT;65405;68308;71713;8762
4;code_4;ORANGE_MONEY;PENDING;46136;39371;49650;31306
5;code_5;YUP;VALIDATED;94884;97159;53116;19362
6;code_6;EXPRESS_UNION;DRAFT;54932;81260;23105;44689
7;code_7;MASTER_CARD;PENDING;2587;52561;97971;64178
8;code_8;MASTER_CARD;CANCEL;76678;91776;38564;48446
9;code_9;MOBILE_MONEY;DRAFT;22516;48318;72942;63277
10;code_10;ORANGE_MONEY;CANCEL;63694;99707;97238;41096
